Id,Name,Vorname,Titel,Partei,Wahlkreis,WahlkreisOrderBy
90f70543-b74e-4fed-9893-dd26ecc7c6ac,Dubacher,André,,SP,,0
280018f3-d364-48c4-96b1-4eedb813c590,Dubno,Samuel,,GLP,,0
e1369fff-4ad6-4bc8-a290-63ab88ed8f6d,Dubs Früh,Marianne,,SP,,0
bbfb8ca0-91b1-448d-b1fc-c5e3bb35c158,Eberle,Natalie,,AL, 3,101
d6e65df3-d58e-4af1-b3ae-275338147a19,Edelmann,Andreas,,SP,,0
70c4fb44-48da-47b2-b24e-aaf500c1e78c,Egger,Heidi,,SP,11,107
716cab9a-1d9c-4c2e-929d-5a777513a293,Egger,Urs,Dr.,FDP,,0
419e3ac9-c619-4c8f-8143-a09d71e8c342,Eggler,Robert,,FDP,,0
8e54fd16-8091-4ad3-93bd-6a08698cd9a9,Egli,Andreas,,FDP,10,106
53ba534c-2097-488a-a689-b189878cf215,Egloff,Mathias,Dr. phil. II,SP,10,106
edcb2167-831a-4417-9b08-026aa5123d2c,Elmer Lück,Annamarie,,SP,,0
160e2b30-b922-4637-b513-0e9d0445b3ce,Enderlin Cavigelli,Regula,Dr.,SP,,0
53760522-5b08-4a99-b645-c3ffde91555f,Erdem,Niyazi,,SP, 3,101
484b95f5-7d8f-41dd-8901-9faea379e48a,Erdös-Schärer,Susanne,,SP,,0
1ff7e393-82cf-47a0-9b5a-08d9b6c731a9,Erfigen,Monika,,SVP,,0
3ac05cb7-f6c0-43f5-9ff3-7864b94063ed,Esseiva,Nicolas,,SP,,0
4df2d9ef-a749-4933-9a00-df66beef3064,Estermann,Josef,,SP,,0
1d89215d-9a2e-4e76-8835-a5fd747132b8,Eugster,Emanuel,,SVP,7 und 8,104
892a19fc-7ca8-4aef-9b72-23bb0d588eb9,Fässler,Renate,,SP,,0
8070161a-b46c-4824-9ff5-65b4af255069,Federer,Guido,,SP,,0
50d60f0f-cab8-4ab6-bf80-5308e82dd1c1,Fehr,Urs,,SVP,,0
